id,previous_reading,current_reading,excess_consumption,total_consumed,finished_at,period_id,water_meter_id,code,created_at,created_by_id,operator_id,status,updated_at,updated_by_id
4165,665,665,0,0,2023-01-09 13:22:24.000000 +00:00,20,360,LE-00001,2023-01-02 20:59:22.000000 +00:00,1,3,F,2023-01-02 20:59:22.000000 +00:00,3
5564,705,720,5,15,2023-09-01 13:38:21.934498 +00:00,29,367,LE-02792,,3,3,F,,3
5548,103,103,0,0,2023-09-01 14:02:34.258379 +00:00,29,351,LE-02776,,3,3,F,,3
5560,2466,2485,9,19,2023-09-01 14:17:45.552827 +00:00,29,363,LE-02788,,3,3,F,,3
5576,1033,1045,2,12,2023-09-01 14:21:23.381171 +00:00,29,380,LE-02804,,3,3,F,,3
5552,27,27,0,0,2023-09-01 14:23:27.496725 +00:00,29,355,LE-02780,,3,3,F,,3
5544,3232,3241,0,9,2023-09-01 14:25:56.236515 +00:00,29,347,LE-02772,,3,3,F,,3
5559,3238,3251,3,13,2023-09-01 15:39:49.277839 +00:00,29,362,LE-02787,,3,3,F,,3
5556,473,474,0,1,2023-09-01 15:42:13.711541 +00:00,29,359,LE-02784,,3,3,F,,3
5563,147,149,0,2,2023-09-01 15:57:16.502399 +00:00,29,366,LE-02791,,3,3,F,,3
5616,339,352,3,13,2023-09-01 16:28:12.001937 +00:00,29,420,LE-02844,,3,3,F,,3
5605,33,33,0,0,2023-09-01 16:46:16.540954 +00:00,29,409,LE-02833,,3,3,F,,3
5608,424,438,4,14,2023-09-01 16:47:49.151379 +00:00,29,412,LE-02836,,3,3,F,,3
5577,743,754,1,11,2023-09-01 16:52:59.922566 +00:00,29,381,LE-02805,,3,3,F,,3
5582,1887,1914,17,27,2023-09-01 16:54:05.577743 +00:00,29,386,LE-02810,,3,3,F,,3
5567,567,568,0,1,2023-09-01 16:58:56.615381 +00:00,29,370,LE-02795,,3,3,F,,3
5583,1283,1320,27,37,2023-09-01 17:05:18.204649 +00:00,29,387,LE-02811,,3,3,F,,3
5558,3092,3103,1,11,2023-09-01 17:14:42.875475 +00:00,29,361,LE-02786,,3,3,F,,3
5585,2408,2420,2,12,2023-09-01 17:31:17.573315 +00:00,29,389,LE-02813,,3,3,F,,3
5612,388,398,0,10,2023-09-01 17:33:37.748020 +00:00,29,416,LE-02840,,3,3,F,,3
5589,316,323,0,7,2023-09-04 14:10:06.421235 +00:00,29,393,LE-02817,,3,3,F,2023-09-04 14:10:06.427982 +00:00,3
5565,25,25,0,0,2023-09-04 14:10:39.181193 +00:00,29,368,LE-02793,,3,3,F,2023-09-04 14:10:39.187802 +00:00,3
5569,816,835,9,19,2023-09-04 14:30:12.441110 +00:00,29,372,LE-02797,,3,3,F,2023-09-04 14:30:12.447346 +00:00,3
5580,769,782,3,13,2023-09-04 14:51:15.679729 +00:00,29,384,LE-02808,,3,3,F,2023-09-04 14:51:15.688651 +00:00,3
5546,481,488,0,7,2023-09-04 14:54:45.474627 +00:00,29,349,LE-02774,,3,3,F,2023-09-04 14:54:45.483466 +00:00,3
5574,472,478,0,6,2023-09-04 15:02:00.650447 +00:00,29,378,LE-02802,,3,3,F,2023-09-04 15:02:00.679208 +00:00,3
5607,76,78,0,2,2023-09-04 15:15:22.293570 +00:00,29,411,LE-02835,,3,3,F,2023-09-04 15:15:22.309596 +00:00,3
5598,197,205,0,8,2023-09-04 15:53:08.164352 +00:00,29,402,LE-02826,,3,3,F,2023-09-04 15:53:08.171538 +00:00,3
5575,174,174,0,0,2023-09-04 15:54:40.905596 +00:00,29,379,LE-02803,,3,3,F,2023-09-04 15:54:40.912456 +00:00,3
5617,861,892,21,31,2023-09-04 15:57:42.832581 +00:00,29,421,LE-02845,,3,3,F,2023-09-04 15:57:42.839025 +00:00,3
5609,108,108,0,0,2023-09-04 15:58:41.159397 +00:00,29,413,LE-02837,,3,3,F,2023-09-04 15:58:41.165463 +00:00,3
5592,1,1,0,0,2023-09-04 16:02:47.244897 +00:00,29,396,LE-02820,,3,3,F,2023-09-04 16:02:47.252602 +00:00,3
5570,902,917,5,15,2023-09-04 16:00:40.600657 +00:00,29,373,LE-02798,,3,3,F,2023-09-04 16:00:40.619244 +00:00,3
5568,2108,2125,7,17,2023-09-04 16:11:55.092811 +00:00,29,371,LE-02796,,3,3,F,2023-09-04 16:11:55.099609 +00:00,3
5584,1304,1327,13,23,2023-09-04 16:13:58.880933 +00:00,29,388,LE-02812,,3,3,F,2023-09-04 16:13:58.909379 +00:00,3
5604,59,61,0,2,2023-09-04 16:14:39.075250 +00:00,29,408,LE-02832,,3,3,F,2023-09-04 16:14:39.082003 +00:00,3
5596,135,141,0,6,2023-09-04 16:14:59.651300 +00:00,29,400,LE-02824,,3,3,F,2023-09-04 16:14:59.657468 +00:00,3
5599,300,305,0,5,2023-09-04 16:16:38.282276 +00:00,29,403,LE-02827,,3,3,F,2023-09-04 16:16:38.288300 +00:00,3
5550,1522,1546,14,24,2023-09-04 16:29:35.788707 +00:00,29,353,LE-02778,,3,3,F,2023-09-04 16:29:35.795952 +00:00,3
5588,1045,1060,5,15,2023-09-04 17:07:11.087698 +00:00,29,392,LE-02816,,3,3,F,2023-09-04 17:07:11.093478 +00:00,3
5557,726,727,0,1,2023-09-04 17:08:06.710057 +00:00,29,360,LE-02785,,3,3,F,2023-09-04 17:08:06.716666 +00:00,3
5581,653,666,3,13,2023-09-04 17:09:30.263085 +00:00,29,385,LE-02809,,3,3,F,2023-09-04 17:09:30.268963 +00:00,3
5586,202,203,0,1,2023-09-04 17:10:00.893819 +00:00,29,390,LE-02814,,3,3,F,2023-09-04 17:10:00.899684 +00:00,3
5578,487,505,8,18,2023-09-04 17:13:12.424220 +00:00,29,382,LE-02806,,3,3,F,2023-09-04 17:13:12.429972 +00:00,3
5545,269,271,0,2,2023-09-04 17:21:56.659987 +00:00,29,348,LE-02773,,3,3,F,2023-09-04 17:21:56.666170 +00:00,3
5554,1425,1475,40,50,2023-09-04 21:53:21.142946 +00:00,29,357,LE-02782,,3,3,F,2023-09-04 21:53:21.148794 +00:00,3
5590,608,665,47,57,2023-09-04 22:00:03.276195 +00:00,29,394,LE-02818,,3,3,F,2023-09-04 22:00:03.290155 +00:00,3
5595,773,788,5,15,2023-09-04 22:01:05.840761 +00:00,29,399,LE-02823,,3,3,F,2023-09-04 22:01:05.853867 +00:00,3
5566,417,424,0,7,2023-09-04 22:12:36.250048 +00:00,29,369,LE-02794,,3,3,F,2023-09-04 22:12:36.256512 +00:00,3
5579,1105,1129,14,24,2023-09-05 14:21:27.482949 +00:00,29,383,LE-02807,,3,3,F,2023-09-05 14:21:27.488398 +00:00,3
5597,127,137,0,10,2023-09-05 14:30:54.704099 +00:00,29,401,LE-02825,,3,3,F,2023-09-05 14:30:54.715184 +00:00,3
5600,573,587,4,14,2023-09-05 14:40:06.804635 +00:00,29,404,LE-02828,,3,3,F,2023-09-05 14:40:06.810287 +00:00,3
5611,56,62,0,6,2023-09-05 14:43:41.963591 +00:00,29,415,LE-02839,,3,3,F,2023-09-05 14:43:41.969225 +00:00,3
5615,43,43,0,0,2023-09-05 14:44:37.770305 +00:00,29,419,LE-02843,,3,3,F,2023-09-05 14:44:37.776021 +00:00,3
5614,72,76,0,4,2023-09-05 14:44:59.728583 +00:00,29,418,LE-02842,,3,3,F,2023-09-05 14:44:59.734059 +00:00,3
5571,668,685,7,17,2023-09-05 14:51:12.238212 +00:00,29,374,LE-02799,,3,3,F,2023-09-05 14:51:12.244553 +00:00,3
6473,3311,3318,0,7,2023-11-01 17:43:34.516771 +00:00,31,589,LE-03701,2023-11-01 13:43:45.774729 +00:00,,3,F,2023-11-01 17:43:34.525592 +00:00,
7294,503,510,0,7,2024-02-01 21:41:24.689287 +00:00,34,378,LE-04522,2024-02-01 12:22:59.958934 +00:00,,3,F,2024-02-01 21:41:24.701999 +00:00,
6577,271,271,0,0,2023-12-05 15:01:16.610145 +00:00,32,348,LE-03805,2023-12-02 21:42:52.792559 +00:00,,3,F,2023-12-05 15:01:16.617854 +00:00,
5654,1173,1173,0,0,2023-09-01 13:51:25.711996 +00:00,29,458,LE-02882,,3,3,F,,3
5587,423,430,0,7,2023-09-05 14:54:11.893479 +00:00,29,391,LE-02815,,3,3,F,2023-09-05 14:54:11.899358 +00:00,3
5549,713,726,3,13,2023-09-05 14:59:35.713670 +00:00,29,352,LE-02777,,3,3,F,2023-09-05 14:59:35.723903 +00:00,3
5594,947,947,0,0,2023-09-05 15:15:02.274626 +00:00,29,398,LE-02822,,3,3,F,2023-09-05 15:15:02.280393 +00:00,3
5635,162,172,0,10,2023-09-01 13:53:47.685465 +00:00,29,439,LE-02863,,3,3,F,,3
5653,2630,2652,12,22,2023-09-01 13:55:35.023863 +00:00,29,457,LE-02881,,3,3,F,,3
5661,1578,1578,0,0,2023-09-01 13:56:44.220374 +00:00,29,465,LE-02889,,3,3,F,,3
5628,5,15,0,10,2023-09-01 13:57:56.841056 +00:00,29,432,LE-02856,,3,3,F,,3
5649,1329,1329,0,0,2023-09-01 14:08:47.796831 +00:00,29,453,LE-02877,,3,3,F,,3
5652,874,881,0,7,2023-09-01 14:10:08.181981 +00:00,29,456,LE-02880,,3,3,F,,3
5655,1192,1209,7,17,2023-09-01 14:15:55.682208 +00:00,29,459,LE-02883,,3,3,F,,3
5645,3479,3509,20,30,2023-09-01 14:19:51.441132 +00:00,29,449,LE-02873,,3,3,F,,3
5640,1150,1153,0,3,2023-09-01 15:38:38.435991 +00:00,29,444,LE-02868,,3,3,F,,3
5659,4779,4805,16,26,2023-09-01 15:39:14.861070 +00:00,29,463,LE-02887,,3,3,F,,3
5648,643,644,0,1,2023-09-01 15:46:02.007236 +00:00,29,452,LE-02876,,3,3,F,,3
5644,160,161,0,1,2023-09-01 16:00:42.199248 +00:00,29,448,LE-02872,,3,3,F,,3
5669,1280,1286,0,6,2023-09-01 16:06:28.113623 +00:00,29,473,LE-02897,,3,3,F,,3
5668,4427,4448,11,21,2023-09-01 16:43:07.003400 +00:00,29,472,LE-02896,,3,3,F,,3
5641,2357,2378,11,21,2023-09-01 16:51:46.614800 +00:00,29,445,LE-02869,,3,3,F,,3
5633,98,99,0,1,2023-09-01 17:12:21.756201 +00:00,29,437,LE-02861,,3,3,F,,3
5624,545,571,16,26,2023-09-01 17:13:26.561093 +00:00,29,428,LE-02852,,3,3,F,,3
5687,2613,2614,0,1,2023-09-01 17:29:02.986120 +00:00,29,491,LE-02915,,3,3,F,,3
5686,4509,4526,7,17,2023-09-01 17:36:30.355770 +00:00,29,490,LE-02914,,3,3,F,,3
5688,1062,1068,0,6,2023-09-04 14:16:33.861493 +00:00,29,492,LE-02916,,3,3,F,2023-09-04 14:16:33.868653 +00:00,3
